1 : build.go:53 (simul.startBuild)           - Deploying to deterlab
1 : deterlab.go:138 (platform.(*Deterlab).Build) - Building for guissou users.deterlab.net SAFER  simulDir= /mnt/guillaume/Documents/epfl/ipfs/repos/student_19_cruxIPFS2/simulation
1 : deterlab.go:194 (platform.(*Deterlab).Build) - Build is finished after 2.935692666s
1 : build.go:144 (simul.RunTests)            - Running test with config: map[bf:15 depth:1 prescript:"prescript.sh" rounds:1 servers:16 simulation:"IPFS" suite:"Ed25519"]
1 : users.go:50 (main.main)                  - Cleaning up 40 hosts.
1 : deterlab.go:305 (platform.(*Deterlab).Deploy) - Copying over to guissou @ users.deterlab.net
1 : users.go:120 (main.main)                 - starting 16 cothorities for a total of 16 processes.
1 : runsimul.go:144 (platform.Simulate)      - Started counting children with timeout of 1s
1 : runsimul.go:148 (platform.Simulate)      - Found all 16 children
1 : pings.go:341 (service.(*Service).printPings) - 
ping node_0 node_0 = 0.000000
ping node_0 node_1 = 97.260250
ping node_0 node_2 = 16.237750
ping node_0 node_3 = 91.524000
ping node_0 node_4 = 88.290750
ping node_0 node_5 = 94.472250
ping node_0 node_6 = 88.524500
ping node_0 node_7 = 92.597750
ping node_0 node_8 = 61.363750
ping node_0 node_9 = 73.637250
ping node_0 node_10 = 72.122250
ping node_0 node_11 = 88.701000
ping node_0 node_12 = 117.872500
ping node_0 node_13 = 91.535000
ping node_0 node_14 = 148.634500
ping node_0 node_15 = 83.953000
ping node_1 node_0 = 97.260250
ping node_1 node_1 = 0.000000
ping node_1 node_2 = 113.474500
ping node_1 node_3 = 91.834500
ping node_1 node_4 = 120.985250
ping node_1 node_5 = 94.884500
ping node_1 node_6 = 89.008500
ping node_1 node_7 = 101.387250
ping node_1 node_8 = 102.455500
ping node_1 node_9 = 96.337250
ping node_1 node_10 = 131.678500
ping node_1 node_11 = 125.093500
ping node_1 node_12 = 160.465500
ping node_1 node_13 = 121.314000
ping node_1 node_14 = 163.591750
ping node_1 node_15 = 93.801750
ping node_2 node_0 = 16.237750
ping node_2 node_1 = 113.474500
ping node_2 node_2 = 0.000000
ping node_2 node_3 = 83.698750
ping node_2 node_4 = 91.722750
ping node_2 node_5 = 90.036750
ping node_2 node_6 = 85.529250
ping node_2 node_7 = 78.156500
ping node_2 node_8 = 45.242750
ping node_2 node_9 = 57.422500
ping node_2 node_10 = 71.985500
ping node_2 node_11 = 72.445250
ping node_2 node_12 = 101.477500
ping node_2 node_13 = 82.941250
ping node_2 node_14 = 140.039750
ping node_2 node_15 = 67.705000
ping node_3 node_0 = 91.524000
ping node_3 node_1 = 91.834500
ping node_3 node_2 = 83.698750
ping node_3 node_3 = 0.000000
ping node_3 node_4 = 3.263000
ping node_3 node_5 = 8.273250
ping node_3 node_6 = 3.462250
ping node_3 node_7 = 26.630250
ping node_3 node_8 = 30.522750
ping node_3 node_9 = 39.712750
ping node_3 node_10 = 40.663750
ping node_3 node_11 = 3.170500
ping node_3 node_12 = 77.189250
ping node_3 node_13 = 39.194000
ping node_3 node_14 = 96.396750
ping node_3 node_15 = 28.422750
ping node_4 node_0 = 88.290750
ping node_4 node_1 = 120.985250
ping node_4 node_2 = 91.722750
ping node_4 node_3 = 3.263000
ping node_4 node_4 = 0.000000
ping node_4 node_5 = 11.383750
ping node_4 node_6 = 0.255250
ping node_4 node_7 = 23.465750
ping node_4 node_8 = 33.732250
ping node_4 node_9 = 41.106750
ping node_4 node_10 = 43.921000
ping node_4 node_11 = 6.438500
ping node_4 node_12 = 75.687250
ping node_4 node_13 = 42.481750
ping node_4 node_14 = 99.673250
ping node_4 node_15 = 26.339500
ping node_5 node_0 = 94.472250
ping node_5 node_1 = 94.884500
ping node_5 node_2 = 90.036750
ping node_5 node_3 = 8.273250
ping node_5 node_4 = 11.383750
ping node_5 node_5 = 0.000000
ping node_5 node_6 = 6.067750
ping node_5 node_7 = 29.332250
