1 : build.go:53 (simul.startBuild)           - Deploying to deterlab
1 : deterlab.go:138 (platform.(*Deterlab).Build) - Building for guissou users.deterlab.net SAFER  simulDir= /mnt/guillaume/Documents/epfl/ipfs/repos/student_19_cruxIPFS/simulation
1 : deterlab.go:194 (platform.(*Deterlab).Build) - Build is finished after 3.439262358s
1 : build.go:144 (simul.RunTests)            - Running test with config: map[bf:12 depth:1 prescript:"prescript.sh" rounds:1 servers:13 simulation:"IPFS" suite:"Ed25519"]
1 : users.go:50 (main.main)                  - Cleaning up 26 hosts.
1 : helpers.go:13 (main.SetNodePaths)        - NODEPATHREMOTE: nodes_local_26.txt
1 : helpers.go:15 (main.SetNodePaths)        - NODEPATHLOCAL: ../data/nodes_local_26.txt
1 : service.go:55 (main.(*IPFSSimulation).Setup) - 
details: simulation, mode: raft, K=3, N=13, R=13, D=120

1 : deterlab.go:305 (platform.(*Deterlab).Deploy) - Copying over to guissou @ users.deterlab.net
1 : users.go:120 (main.main)                 - starting 13 cothorities for a total of 13 processes.
1 : runsimul.go:144 (platform.Simulate)      - Started counting children with timeout of 1s
1 : runsimul.go:151 (platform.Simulate)      - Found only 11 children, counting again
1 : runsimul.go:144 (platform.Simulate)      - Started counting children with timeout of 2s
1 : runsimul.go:148 (platform.Simulate)      - Found all 13 children
1 : pings.go:336 (service.(*Service).printPings) - 
ping node_0 node_0 = 0.000000
ping node_0 node_1 = 28.174500
ping node_0 node_2 = 51.143500
ping node_0 node_3 = 32.447000
ping node_0 node_4 = 30.309750
ping node_0 node_5 = 95.101750
ping node_0 node_6 = 37.126000
ping node_0 node_7 = 57.281500
ping node_0 node_8 = 39.209500
ping node_0 node_9 = 110.283250
ping node_0 node_10 = 115.107750
ping node_0 node_11 = 87.902000
ping node_0 node_12 = 0.114500
ping node_1 node_0 = 28.174500
ping node_1 node_1 = 0.000000
ping node_1 node_2 = 79.308750
ping node_1 node_3 = 4.305000
ping node_1 node_4 = 2.143250
ping node_1 node_5 = 81.408000
ping node_1 node_6 = 37.196500
ping node_1 node_7 = 43.315250
ping node_1 node_8 = 25.311250
ping node_1 node_9 = 96.818750
ping node_1 node_10 = 136.810000
ping node_1 node_11 = 100.367750
ping node_1 node_12 = 28.276500
ping node_2 node_0 = 51.143500
ping node_2 node_1 = 79.308750
ping node_2 node_2 = 0.000000
ping node_2 node_3 = 37.338500
ping node_2 node_4 = 35.476000
ping node_2 node_5 = 100.392750
ping node_2 node_6 = 57.283000
ping node_2 node_7 = 31.744250
ping node_2 node_8 = 43.898750
ping node_2 node_9 = 99.410000
ping node_2 node_10 = 110.734250
ping node_2 node_11 = 35.760750
ping node_2 node_12 = 51.235500
ping node_3 node_0 = 32.447000
ping node_3 node_1 = 4.305000
ping node_3 node_2 = 37.338500
ping node_3 node_3 = 0.000000
ping node_3 node_4 = 2.141250
ping node_3 node_5 = 66.267750
ping node_3 node_6 = 11.778000
ping node_3 node_7 = 29.637000
ping node_3 node_8 = 9.122750
ping node_3 node_9 = 80.282250
ping node_3 node_10 = 85.042750
ping node_3 node_11 = 58.210500
ping node_3 node_12 = 32.537000
ping node_4 node_0 = 30.309750
ping node_4 node_1 = 2.143250
ping node_4 node_2 = 35.476000
ping node_4 node_3 = 2.141250
ping node_4 node_4 = 0.000000
ping node_4 node_5 = 64.165500
ping node_4 node_6 = 11.258500
ping node_4 node_7 = 27.562500
ping node_4 node_8 = 11.778500
ping node_4 node_9 = 82.441750
ping node_4 node_10 = 87.180250
ping node_4 node_11 = 57.638750
ping node_4 node_12 = 30.410750
ping node_5 node_0 = 95.101750
ping node_5 node_1 = 81.408000
ping node_5 node_2 = 100.392750
ping node_5 node_3 = 66.267750
ping node_5 node_4 = 64.165500
ping node_5 node_5 = 0.000000
ping node_5 node_6 = 62.562250
ping node_5 node_7 = 81.401750
ping node_5 node_8 = 60.961000
ping node_5 node_9 = 112.586250
ping node_5 node_10 = 134.958750
ping node_5 node_11 = 108.008250
ping node_5 node_12 = 95.133000
ping node_6 node_0 = 37.126000
